,Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
13,Sistema,Sistema,8485603.18,8112190.5,7888143.33,7702815.48,7615706.73,7542808.42,7410365.33,7692296.4,8058633.46,8403844.45,8670133.33,9023517.08,9267177.43,9462574.11,9235546.55,9178721.01,9136358.86,9262529.56,10145762.18,10214681.29,10067306.67,9785655.53,9368414.12,8899106.32,2023-12-10
14,Sistema,Sistema,8348228.99,8061934.19,7880968.35,7796210.24,7937988.79,8170329.29,8478293.42,9299798.97,9858444.19,10238244.19,10632792.5,11039693.79,11118304.68,11028139.46,11178514.64,11166555.12,11163677.6,10981153.23,11449433.35,11468395.02,11288264.62,10831946.09,10254918.95,9655335.1,2023-12-11
15,Sistema,Sistema,9069444.69,8679882.22,8309464.7,8165214.07,8286563.73,8535502.04,8827950.33,9642422.35,10151631.06,10434303.16,10670899.36,10962034.26,10993955.81,11056285.33,11246203.52,11314480.25,11211752.65,10975494.84,11608610.76,11605536.77,11368011.91,10932607.07,10334436.86,9712791.54,2023-12-12
16,Sistema,Sistema,8914455.41,8609394.63,8301747.49,8153876.84,8238705.51,8492929.89,8788788.99,9497705.81,10146410.58,10444100.7,10678337.09,10983847.48,11046810.83,11159199.36,11503264.56,11446722.07,11232988.65,11030355.47,11541274.62,11495859.0,11159991.16,10748539.22,10178561.78,9641779.44,2023-12-13
17,Sistema,Sistema,8974070.99,8693941.95,8418381.87,8310259.31,8392870.61,8636879.76,8921246.26,9620058.9,10193819.75,10578961.87,10854736.04,11005411.11,11005424.94,11102968.26,11271985.4,11341110.39,11230935.38,11054666.4,11571735.94,11468896.96,11192397.74,10705143.66,10052036.63,9511352.01,2023-12-14
18,Sistema,Sistema,8897539.24,8593886.34,8437068.59,8279252.04,8370023.08,8598123.9,8850906.54,9519564.49,10041671.04,10267417.45,10504870.9,10745171.67,10719093.48,10680459.95,10980913.54,10989428.78,10798971.75,10669208.32,11170151.9,11071915.2,10797643.01,10408249.28,9878832.02,9387841.26,2023-12-15
19,Sistema,Sistema,8863827.89,8527298.87,8260483.56,8076868.14,8126552.06,8247454.5,8313812.12,8820993.41,9581781.96,9836329.23,10068271.81,10302104.96,10285256.83,10195077.14,10119931.57,9943787.83,9773429.64,10079933.26,10624882.69,10541726.54,10287996.57,9888634.05,9454017.87,8887078.56,2023-12-16
20,Sistema,Sistema,8178793.44,7862336.19,7645540.48,7504032.4,7410843.12,7365033.67,7164786.09,7452067.99,7925203.58,8304477.01,8670311.73,8970429.66,9041131.69,9089052.31,9034019.84,9029830.13,9005339.35,9016327.3,9871996.92,10011574.91,9938995.4,9685819.33,9279542.52,8568928.76,2023-12-17
21,Sistema,Sistema,8141320.76,7846740.77,7662996.23,7582478.91,7689172.36,7947625.39,8201428.49,8879320.93,9441638.66,9956295.36,10306349.9,10641589.82,10517653.28,10507979.26,10690765.1,10659086.34,10459589.88,10246198.42,10768113.47,10724803.13,10579457.04,10245531.97,9666334.28,9088978.54,2023-12-18
22,Sistema,Sistema,8596558.32,8293150.36,8045067.2,7957252.49,8047097.01,8248948.57,8395909.74,9000960.76,9525550.56,9857763.72,10143351.36,10462059.1,10438016.61,10464402.97,10582984.64,10580808.61,10387032.64,10237976.7,10931956.79,10874839.75,10820775.44,10160092.67,9543809.43,9011639.9,2023-12-19
