,timestamp,Values_Type,GeneReal
422,2023_Q1_labor_20h,HIDRAULICA,8700352.6492
423,2023_Q1_labor_20h,SOLAR,0.0008
424,2023_Q1_labor_20h,TERMICA,1696237.8624
425,2023_Q1_labor_21h,COGENERADOR,109865.538
426,2023_Q1_labor_21h,EOLICA,25176.6704
427,2023_Q1_labor_21h,HIDRAULICA,8454320.5606
428,2023_Q1_labor_21h,SOLAR,0.0012
429,2023_Q1_labor_21h,TERMICA,1690491.6809999999
430,2023_Q1_labor_22h,COGENERADOR,109557.08380000001
431,2023_Q1_labor_22h,EOLICA,24746.9594
432,2023_Q1_labor_22h,HIDRAULICA,8054413.0188
433,2023_Q1_labor_22h,SOLAR,0.0
434,2023_Q1_labor_22h,TERMICA,1660307.5246000001
435,2023_Q1_labor_23h,COGENERADOR,110237.8488
436,2023_Q1_labor_23h,EOLICA,24659.4796
437,2023_Q1_labor_23h,HIDRAULICA,7485388.742000001
438,2023_Q1_labor_23h,SOLAR,0.0
439,2023_Q1_labor_23h,TERMICA,1620775.148
440,2023_Q1_labor_2h,COGENERADOR,108650.9446
441,2023_Q1_labor_2h,EOLICA,21921.2444
442,2023_Q1_labor_2h,HIDRAULICA,6335704.0775999995
443,2023_Q1_labor_2h,SOLAR,0.026600000000000002
444,2023_Q1_labor_2h,TERMICA,1426872.9714
445,2023_Q1_labor_3h,COGENERADOR,109083.5434
446,2023_Q1_labor_3h,EOLICA,21266.5908
447,2023_Q1_labor_3h,HIDRAULICA,6186171.001800001
448,2023_Q1_labor_3h,SOLAR,0.0088
449,2023_Q1_labor_3h,TERMICA,1378561.9588
450,2023_Q1_labor_4h,COGENERADOR,109817.4876
451,2023_Q1_labor_4h,EOLICA,19736.7228
452,2023_Q1_labor_4h,HIDRAULICA,6110501.1493999995
453,2023_Q1_labor_4h,SOLAR,0.0132
454,2023_Q1_labor_4h,TERMICA,1351121.5272
455,2023_Q1_labor_5h,COGENERADOR,109938.29759999999
456,2023_Q1_labor_5h,EOLICA,19125.381
457,2023_Q1_labor_5h,HIDRAULICA,6248991.0634
458,2023_Q1_labor_5h,SOLAR,0.0072
459,2023_Q1_labor_5h,TERMICA,1334813.3612000002
460,2023_Q1_labor_6h,COGENERADOR,109808.3606
461,2023_Q1_labor_6h,EOLICA,18469.833599999998
462,2023_Q1_labor_6h,HIDRAULICA,6607124.3102
463,2023_Q1_labor_6h,SOLAR,0.0116
464,2023_Q1_labor_6h,TERMICA,1355936.1766
465,2023_Q1_labor_7h,COGENERADOR,109255.15359999999
466,2023_Q1_labor_7h,EOLICA,17682.8488
467,2023_Q1_labor_7h,HIDRAULICA,6727006.5124
