load_zone,fuel,period,fuel_cost
Surocciden,GLP,2033,28.932351266326073
Caribe,GASNACIO,2033,12.611869486037229
Caribe,GASIMPOR,2033,12.611869486037229
Caribe,ACPM,2033,20.31292414484909
Caribe,CARBON,2033,2.252863733899344
Caribe,COMBUSTOLEO,2033,22.90376458261441
Caribe,GAS-YOPAL,2033,12.611869486037229
Caribe,GLP,2033,28.932351266326073
Antioquia,GASNACIO_CCS,2033,12.611869486037229
Nordeste,GASNACIO_CCS,2033,12.611869486037229
Oriental,GASNACIO_CCS,2033,12.611869486037229
Surocciden,GASNACIO_CCS,2033,12.611869486037229
Caribe,GASNACIO_CCS,2033,12.611869486037229
Antioquia,CARBON_CCS,2033,2.252863733899344
Nordeste,CARBON_CCS,2033,2.252863733899344
Oriental,CARBON_CCS,2033,2.252863733899344
Surocciden,CARBON_CCS,2033,2.252863733899344
Caribe,CARBON_CCS,2033,2.252863733899344
Antioquia,GASNACIO,2038,13.255201580374651
Antioquia,GASIMPOR,2038,13.255201580374651
Antioquia,ACPM,2038,21.349087423155346
Antioquia,CARBON,2038,2.3677824258340228
Antioquia,COMBUSTOLEO,2038,24.07208676145218
Antioquia,GAS-YOPAL,2038,13.255201580374651
Antioquia,GLP,2038,30.408191953932167
Nordeste,GASNACIO,2038,13.255201580374651
Nordeste,GASIMPOR,2038,13.255201580374651
Nordeste,ACPM,2038,21.349087423155346
Nordeste,CARBON,2038,2.3677824258340228
Nordeste,COMBUSTOLEO,2038,24.07208676145218
Nordeste,GAS-YOPAL,2038,13.255201580374651
Nordeste,GLP,2038,30.408191953932167
Oriental,GASNACIO,2038,13.255201580374651
Oriental,GASIMPOR,2038,13.255201580374651
Oriental,ACPM,2038,21.349087423155346
Oriental,CARBON,2038,2.3677824258340228
Oriental,COMBUSTOLEO,2038,24.07208676145218
Oriental,GAS-YOPAL,2038,13.255201580374651
Oriental,GLP,2038,30.408191953932167
Surocciden,GASNACIO,2038,13.255201580374651
Surocciden,GASIMPOR,2038,13.255201580374651
Surocciden,ACPM,2038,21.349087423155346
Surocciden,CARBON,2038,2.3677824258340228
Surocciden,COMBUSTOLEO,2038,24.07208676145218
Surocciden,GAS-YOPAL,2038,13.255201580374651
Surocciden,GLP,2038,30.408191953932167
Caribe,GASNACIO,2038,13.255201580374651
Caribe,GASIMPOR,2038,13.255201580374651
Caribe,ACPM,2038,21.349087423155346
Caribe,CARBON,2038,2.3677824258340228
Caribe,COMBUSTOLEO,2038,24.07208676145218
Caribe,GAS-YOPAL,2038,13.255201580374651
Caribe,GLP,2038,30.408191953932167
Antioquia,GASNACIO_CCS,2038,13.255201580374651
Nordeste,GASNACIO_CCS,2038,13.255201580374651
Oriental,GASNACIO_CCS,2038,13.255201580374651
Surocciden,GASNACIO_CCS,2038,13.255201580374651
