GENERATION_PROJECT,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_is_baseload,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_capacity_limit_mw,gen_unit_size,gen_ccs_energy_load,gen_ccs_capture_efficiency,gen_min_build_capacity,gen_is_cogen,gen_min_load_fraction,gen_startup_om,gen_storage_efficiency
T_BiogDJuana,Thermal,Coal,Oriental,80,0,0,11,1.16,0,.,.,.,.,.,.,.,1,.,18688.0,.
T_Castilla1,Thermal,Coal,Surocciden,80,0,0,11,1.16,0,.,.,.,.,.,.,.,1,.,18688.0,.
T_CoCocaCola,Thermal,Coal,Oriental,80,0,0,11,1.16,0,.,.,.,.,.,.,.,1,.,18688.0,.
T_CoColtejer,Thermal,Coal,Antioquia,80,0,0,11,1.16,0,.,.,.,.,.,.,.,1,.,18688.0,.
T_CogCabanas,Thermal,Coal,Surocciden,80,0,0,11,1.16,0,.,.,.,.,.,.,.,1,.,18688.0,.
T_CogIncauca,Thermal,Coal,Surocciden,80,0,0,11,1.16,0,.,.,.,.,.,.,.,1,.,18688.0,.
T_CogPapeles,Thermal,Coal,Surocciden,80,0,0,11,1.16,0,.,.,.,.,.,.,.,1,.,18688.0,.
T_CogProenca,Thermal,Coal,Surocciden,80,0,0,11,1.16,0,.,.,.,.,.,.,.,1,.,18688.0,.
T_CoIngscarl,Thermal,Coal,Surocciden,80,0,0,11,1.16,0,.,.,.,.,.,.,.,1,.,18688.0,.
T_CoManuelit,Thermal,Coal,Surocciden,80,0,0,11,1.16,0,.,.,.,.,.,.,.,1,.,18688.0,.
T_CoMayagues,Thermal,Coal,Surocciden,80,0,0,11,1.16,0,.,.,.,.,.,.,.,1,.,18688.0,.
T_CoProviden,Thermal,Coal,Surocciden,80,0,0,11,1.16,0,.,.,.,.,.,.,.,1,.,18688.0,.
T_CoRioPaila,Thermal,Coal,Surocciden,80,0,0,11,1.16,0,.,.,.,.,.,.,.,1,.,18688.0,.
T_CoRisarald,Thermal,Coal,Surocciden,80,0,0,11,1.16,0,.,.,.,.,.,.,.,1,.,18688.0,.
T_DonJuanaII,Thermal,Coal,Oriental,80,0,0,11,1.16,0,.,.,.,.,.,.,.,1,.,18688.0,.
T_EgipPalmas,Thermal,Coal,Surocciden,80,0,0,11,1.16,0,.,.,.,.,.,.,.,1,.,18688.0,.
T_IngCarmerI,Thermal,Coal,Surocciden,80,0,0,11,1.16,0,.,.,.,.,.,.,.,1,.,18688.0,.
T_IngPichich,Thermal,Coal,Surocciden,80,0,0,11,1.16,0,.,.,.,.,.,.,.,1,.,18688.0,.
T_IngPichiI,Thermal,Coal,Surocciden,80,0,0,11,1.16,0,.,.,.,.,.,.,.,1,.,18688.0,.
T_Mechero4,Thermal,Coal,Nordeste,80,0,0,11,1.16,0,.,.,.,.,.,.,.,1,.,18688.0,.
T_Mechero5,Thermal,Coal,Nordeste,80,0,0,11,1.16,0,.,.,.,.,.,.,.,1,.,18688.0,.
T_Mechero6,Thermal,Coal,Nordeste,80,0,0,11,1.16,0,.,.,.,.,.,.,.,1,.,18688.0,.
T_MilpaSamac,Thermal,Coal,Nordeste,80,0,0,11,1.16,0,.,.,.,.,.,.,.,1,.,18688.0,.
