GENERATION_PROJECT,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_is_baseload,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_capacity_limit_mw,gen_unit_size,gen_ccs_energy_load,gen_ccs_capture_efficiency,gen_min_build_capacity,gen_is_cogen,gen_min_load_fraction,gen_startup_om,gen_storage_efficiency
CARTAGGAS3,Thermal,GASNACIO,Caribe,80,0,0,13.2503,5.53,0,0.0304,.,.,1,.,.,0,0,100.0,0.24933333333333332,.
CHARQUITO,Hidro,Water,Oriental,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
CHIVOR,Hidro,Water,Oriental,80,0,0,.,1.39,0,0.2232,0.0093,.,.,.,.,0,0,.,.,.
CUCUANA,Hidro,Water,Surocciden,80,0,0,.,1.39,0,0.15,0.15,.,.,.,.,0,0,.,.,.
DARIO VALENC,Hidro,Water,Oriental,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
EL QUIMBO,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
ELTESORITO,Thermal,GASNACIO,Caribe,80,0,0,8.6441,5.53,0,0.0304,.,.,1,.,.,0,0,100.0,0.08,.
ESCUELAMINAS,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
ESMERALDA,Hidro,Water,Surocciden,80,0,0,.,1.39,0,0.1243,0.0218,.,.,.,.,0,0,.,.,.
FLORES 1,Thermal,GASIMPOR,Caribe,80,0,0,8.3571,5.53,0,0.0304,.,.,1,.,.,0,0,100.0,0.11376875,.
FLORES1GN,Thermal,GASNACIO,Caribe,80,0,0,8.3571,5.53,0,0.0304,.,.,1,.,.,0,0,100.0,0.11376875,.
FLORES4,Thermal,GASNACIO,Caribe,80,0,0,8.0576,5.53,0,0.0304,.,.,1,.,.,0,0,100.0,0.05423595505617978,.
FLORES4GIM,Thermal,GASIMPOR,Caribe,80,0,0,8.0576,5.53,0,0.0304,.,.,1,.,.,0,0,100.0,0.05423595505617978,.
GUADALUPE 3,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
GUADALUPE 4,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
GUAJ1GAS,Thermal,GASNACIO,Caribe,80,0,0,11.2741,5.53,0,0.0304,.,.,1,.,.,0,0,100.0,0.11851724137931034,.
GUAJ2GAS,Thermal,GASNACIO,Caribe,80,0,0,11.1594,5.53,0,0.0304,.,.,1,.,.,0,0,100.0,0.11851724137931034,.
GUAJIRA1,Thermal,CARBON,Caribe,80,0,0,9.997,8.62,0,0.0304,0.1814,.,1,.,.,0,0,100.0,0.11851724137931034,.
GUAJIRA2,Thermal,CARBON,Caribe,80,0,0,9.773,8.62,0,0.0304,0.1128,.,1,.,.,0,0,100.0,0.11851724137931034,.
GUATAPE,Hidro,Water,Antioquia,80,0,0,.,1.39,0,0.0516,0.0113,.,.,.,.,0,0,.,.,.
GUAVIO,Hidro,Water,Oriental,80,0,0,.,1.39,0,0.0639,0.0049,.,.,.,.,0,0,.,.,.
H_AguaFresca,Menores,RunofRiver,Antioquia,80,0,0,.,1.39,0,0.0573,0.213,.,.,.,.,0,0,.,.,.
H_Alejandria,Menores,RunofRiver,Antioquia,80,0,0,.,1.39,0,0.0573,0.213,.,.,.,.,0,0,.,.,.
H_Altamira,Hidro,Water,Nordeste,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_AltoOvejas,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Amaime,Menores,RunofRiver,Surocciden,80,0,0,.,1.39,0,0.0573,0.213,.,.,.,.,0,0,.,.,.
H_Amalfi,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_America,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Asnazu,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_AuresAlto,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_AuresBajo,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_AurraSucia,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_AutCemNare,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Ayura,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Barrancas,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Barroso,Menores,RunofRiver,Antioquia,80,0,0,.,1.39,0,0.0573,0.213,.,.,.,.,0,0,.,.,.
H_Bayona,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Belmonte,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Buco,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_CampestreC,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_CampestreE,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Cantayus,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Caracoli,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Caruquia,Menores,RunofRiver,Antioquia,80,0,0,.,1.39,0,0.0573,0.213,.,.,.,.,0,0,.,.,.
H_Cascada,Hidro,Water,Nordeste,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_CascadaAnt,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_CascadaGra,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Cauquillo,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Cauya,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_CHLaNoque,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Chorrera,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Chorrerita,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Coconuco,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Cocuyo,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Coello,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Conde,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Currucucue,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_DonaTere,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Dovio,Menores,RunofRiver,Surocciden,80,0,0,.,1.39,0,0.0573,0.213,.,.,.,.,0,0,.,.,.
H_ElBosque,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_ElEden,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_ElLimonar,Hidro,Water,Oriental,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_ElMolino,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_ElPopal,Menores,RunofRiver,Antioquia,80,0,0,.,1.39,0,0.0573,0.213,.,.,.,.,0,0,.,.,.
H_Flautas,Menores,RunofRiver,Surocciden,80,0,0,.,1.39,0,0.0573,0.213,.,.,.,.,0,0,.,.,.
H_Florida,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Frazadas,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Frisolera,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Guacaica,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Guachicono,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Guaico,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Guanaquita,Menores,RunofRiver,Antioquia,80,0,0,.,1.39,0,0.0573,0.213,.,.,.,.,0,0,.,.,.
H_Guaviomeno,Hidro,Water,Oriental,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Herradura,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Hidroarqui,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Hidronare,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Hidronare,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Intermedia,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Inza,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_IquiraI,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_IquiraII,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_JuanGarcia,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_JulioBravo,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_La_Vuelta,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_LaCascada,Hidro,Water,Nordeste,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_LaFlorida,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_LaPita,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_LaRebusca,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_LasPalmas,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,15,.,.,.,0,0,.,.,.
H_Libertad,Hidro,Water,Nordeste,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_LuzMaI,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,.,.,.,.
H_LuzMaII,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Magallo,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Manantiale,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Mirolindo,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Mondomo,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Montanitas,Menores,RunofRiver,Antioquia,80,0,0,.,1.39,0,0.0573,0.213,.,.,.,.,0,0,.,.,.
H_Montebonit,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_MorroAzul,Menores,RunofRiver,Surocciden,80,0,0,.,1.39,0,0.0573,0.213,.,.,.,.,0,0,.,.,.
H_Municipal,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Naveta,Hidro,Water,Oriental,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Nima,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Niquia,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Nuevoliba,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Nutibara,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Oibita,Hidro,Water,Nordeste,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Ovejas,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_PacoraI,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_PacoraII,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Pajarito,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Paloma,Menores,RunofRiver,Antioquia,80,0,0,.,1.39,0,0.0573,0.213,.,.,.,.,0,0,.,.,.
H_PanderiscI,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Paraiso,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Pastales,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Patico,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_PaticoCab,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_PiacoraI,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_PiacoraII,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Piendamo,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Pocune,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Porce3Meno,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_ProvidencI,Menores,RunofRiver,Caribe,80,0,0,.,1.39,0,0.0573,0.213,.,.,.,.,0,0,.,.,.
H_Puente_Gui,Hidro,Water,Nordeste,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Remedios,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Rio_Recio,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_RioBobo,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_RioBravoCa,Menores,RunofRiver,Surocciden,80,0,0,.,1.39,0,0.0573,0.213,.,.,.,.,0,0,.,.,.
H_RioCali,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_RioFrioI,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_RioFrioII,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_RioFrioTam,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_RioGrande,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_RioHondo,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_RioMayo,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_RioMulato2,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_RioMultat1,Menores,RunofRiver,Antioquia,80,0,0,.,1.39,0,0.0573,0.213,.,.,.,.,0,0,.,.,.
H_RioNegro,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_RioPalo,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_RioPiedras,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_RioSapuye,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_RioVerde,Hidro,Water,Oriental,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Rumor,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Sajandi,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_SanAndres2,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_SanCancio,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_SanJose,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_SanjoseMon,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_SanJosMoII,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_SanMatias,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_SantaAna,Hidro,Water,Oriental,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_SantaInes,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_SantaRita,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_SantaRosa,Hidro,Water,Nordeste,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Santiago,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_SBartolome,Hidro,Water,Nordeste,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_SFrancisPu,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Silvia,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Sirgua,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Sonson,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Suba,Hidro,Water,Oriental,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Sueva2,Hidro,Water,Oriental,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Tatefanes,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_TuluaAlto,Menores,RunofRiver,Surocciden,80,0,0,.,1.39,0,0.0573,0.213,.,.,.,.,0,0,.,.,.
H_TuluaBajo,Menores,RunofRiver,Surocciden,80,0,0,.,1.39,0,0.0573,0.213,.,.,.,.,0,0,.,.,.
H_Tumaco1,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Tunjita,Hidro,Water,Oriental,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_TZII,Hidro,Water,Caribe,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Union,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Urrao,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_Usaquen,Hidro,Water,Oriental,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
H_VentanaA,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
