GENERATION_PROJECT,build_year,build_gen_predetermined
H_ElLimonar,2003,18.0
H_ElMolino,1980,19.9
H_ElPopal,2014,19.9
H_Flautas,1980,6.0
H_Florida,1975,19.9
H_Frazadas,1980,10.0
H_Frisolera,1980,0.47
H_Guacaica,1992,0.86
H_Guachicono,1980,12.0
H_Guanaquita,2010,9.5
H_Guaviomeno,1980,9.9
H_Herradura,2004,19.8
H_Hidroarqui,1980,9.0
H_Intermedia,1974,0.96
H_Inza,2009,0.75
H_IquiraI,1955,4.32
H_IquiraII,1965,5.4
H_JuanGarcia,1980,4.52
H_JulioBravo,1942,1.5
H_La_Vuelta,2004,11.6
H_LaCascada,2007,3.0
H_LaPita,1965,1.42
H_LaRebusca,1980,0.7
H_LasPalmas,1954,15.0
H_Libertad,1980,1.2
H_LuzMaI,1980,19.6
H_LuzMaII,1980,19.6
H_Magallo,1980,5.7
H_Manantiale,1992,3.15
H_Mirolindo,2004,3.75
H_Mondomo,1958,0.75
H_Montanitas,2012,19.9
H_Montebonit,1980,20.0
H_MorroAzul,1980,19.9
H_Municipal,1935,1.4
H_Naveta,1980,4.8
H_Nima,1942,6.7
H_Niquia,1993,19.0
H_Nuevoliba,1994,5.1
H_Nutibara,1997,0.75
H_Oibita,2023,20.0
H_Ovejas,1939,0.82
H_PacoraI,1980,5.0
H_PacoraII,1980,9.0
H_Pajarito,1999,13.2
H_Paloma,1980,14.0
H_Paraiso,1980,18.0
H_Pastales,2004,0.7
H_Patico,1930,16.0
H_PaticoCab,1930,1.48
H_PiacoraI,1980,5.1
H_PiacoraII,1980,8.53
H_Piendamo,1980,3.0
H_Pocune,1980,1.0
H_Porce3Meno,1980,1.8
H_ProvidencI,1980,4.9
H_Puente_Gui,2001,4.2
H_Remedios,2007,0.75
H_Rio_Recio,1958,0.984
H_RioBobo,1960,4.0
H_RioBravoCa,1980,15.9
H_RioCali,1925,1.8
H_RioFrioI,1954,1.67
H_RioFrioII,1996,10.0
H_RioFrioTam,1980,1.0
H_RioGrande,2007,9.0
H_RioMayo,1995,19.8
H_RioMulato2,1980,7.34
H_RioNegro,1980,10.2
H_RioPalo,1960,1.44
H_RioPiedras,2000,19.9
H_RioSapuye,1954,1.65
H_Rumor,1999,2.5
H_Sajandi,1995,3.2
H_SanAndres2,1980,19.9
H_SanCancio,1929,2.0
H_SanJose,2003,0.38
H_SanjoseMon,2007,0.4
H_SanJosMoII,1980,1.1
H_SanMatias,1980,19.9
H_SantaAna,2005,8.0
H_SantaRita,2010,1.3
H_Santiago,2010,2.8
H_SBartolome,2023,20.0
H_SFrancisPu,2012,0.468
H_Silvia,1994,0.38
H_Sonson,2002,18.5
H_Suba,2013,2.6
H_Sueva2,2002,6.0
H_Tatefanes,1980,4.0
H_TuluaAlto,2012,19.9
H_TuluaBajo,1980,19.9
H_Tumaco1,1980,0.0
H_Tunjita,1980,19.7
H_TZII,1980,11.0
H_Union,1935,0.7
H_Urrao,2007,1.03
H_Usaquen,2013,1.8
H_VentanaA,1957,2.5
H_VentanaB,1957,2.5
H_Versalles,1980,1.0
H_Violetas,1980,1.0
H_Zeus,1980,9.9
INSULA,1980,19.0
ITUANGO,2022,1200.0
JAGUAS,1988,170.0
LA GUACA,1988,324.0
LA TASAJERA,1994,306.0
LAGUN-LIMON,1980,18.0
MANSO,1980,0.0
MERILECTRICA,1998,167.0
MIEL I,2002,396.0
MIRAFLORES,1980,0.0
MUNA,1980,0.0
NECHI,1980,0.0
NEGRO,1980,9.6
NEGRORUCIO,1980,0.0
NEUSA,1980,0.0
NIQUIA,1980,19.0
PAIPA 1,1963,39.0
PAIPA 2,1975,72.0
PAIPA 3,1982,74.0
PAIPA 4,1999,165.0
PAJARITO,1980,4.9
PARAISO,1987,276.0
PLAYAS,1988,207.0
PORCE II,2001,405.0
PORCE III,2002,700.0
PRADO,1973,51.0
PRADO4,1980,5.0
PROELECTRIC1,1993,50.0
PROELECTRIC2,1993,50.0
QUEBRADONA,1980,0.0
RB ACHU-ESPI,1980,0.0
RB ACHURY,1980,0.0
RB ESPI-ALIC,1980,0.0
RIOGRANDE 1,1980,19.0
RUCIO,1980,0.0
S ACUEDU-BOG,1980,0.0
S_Andaluci,2022,10.0
S_Cabelleros,2021,9.9
S_El_Paso,2022,67.0
S_Fundacion,2023,100.0
S_Numbana,2023,9.9
S_PetaCesaII,2023,20.0
S_PetaloCesa,2023,10.0
S_PortonSol,2023,102.0
S_Sierpe,2021,19.9
C_LLERAS_R,2015,78.0
S_SolBolivar,2018,8.06
S_PlanetaRic,2023,19.9
S_Alejandria,2023,10.0
S_Cerrito,2021,9.9
S_Medin,2021,9.9
S_TierraLind,2023,9.9
S_Tolua,2023,19.9
S_Baranoa,2023,20.0
S_BSBolvr503,2023,20.0
S_BSBolvr504,2023,20.0
S_Girasoles,2023,9.5
S_Since,2022,18.5
S_Sunnorte,2023,35.0
SALTO II,2014,35.0
SALVAJINA,1995,315.0
SAN CARLOS,1987,1240.0
SANFRANCISCO,1969,135.0
SISGA,1980,0.0
SNMIGUEL,2015,52.0
SOGAMOSO,2014,819.0
T_AguaAzul1,1980,125.0
T_AguaAzul2,1980,20.0
T_ArgoCartag,1980,9.9
T_ArgosYumbo,1980,9.9
T_AutArCairo,1980,6.5
T_AutFertico,1980,17.0
T_AutHormiga,1980,1.0
T_AutoFamili,1980,1.0
T_AutogCDSTM,1980,19.9
T_AutoSogamo,1980,5.0
T_AutoUnibol,1980,1.1
T_AutoYaguar,1980,1.6
T_AutTurgas,1980,3.5
T_Bello,1980,5.0
T_Bioenergy,1980,19.9
T_BiogDJuana,1980,1.7
T_Castilla1,1980,3.0
T_CoCocaCola,1980,2.44
T_CoColtejer,1980,9.4
T_CogCabanas,1980,20.0
T_CogIncauca,1980,60.0
T_CogPapeles,1980,0.0
T_CogProenca,1980,19.9
T_CoIngscarl,1980,2.0
T_CoManuelit,1980,12.0
T_CoMayagues,1980,19.9
T_CoProviden,1980,19.9
T_CoRioPaila,1980,16.0
T_CoRisarald,1980,19.9
T_DonJuanaII,1980,10.0
T_EgipPalmas,1980,4.0
T_IngCarmerI,1980,0.0
T_IngPichich,1980,17.0
T_IngPichiI,1980,0.0
T_Mechero4,1980,19.3
T_Mechero5,1980,19.3
T_Mechero6,1980,19.3
T_MilpaSamac,1980,18.0
T_Piedras,1980,3.75
T_ProencaII,1980,17.0
T_Reficar,1980,9.9
T_Tequendama,1980,2.25
T_TerBolivar,1980,9.7
T_TerCapacho,1980,9.9
T_Termotame,1980,5.0
T_TermYopal1,1980,19.9
T_UatOrito,1980,4.0
TASAJERO 1,1985,163.0
TASAJERO 2,2015,170.0
TC_GECELCA3,2015,164.0
TC_GECELCA32,2018,273.0
TEBSAB,1998,791.0
TEBSAGIM,1998,791.0
TENCHE,1980,0.0
TEQUEND1-4,1980,56.8
TERMO YOPAL2,2004,28.0
TERMOCENTRO,2000,272.0
TERMODORADA1,1997,50.0
TERMODORAGAS,1997,50.0
TERMOEMCALI,1999,240.0
TERMOEMCGAS,1999,240.0
TERMONORTE,2018,93.0
TERMOSIERRA,1998,460.0
TERMOVAGAS,2011,241.0
TERMOVALLE,2011,241.0
TERMOYOPALG3,2020,50.0
TERMOYOPALG4,2020,50.0
TERMOYOPALG5,2021,50.0
TOMINE,1980,0.0
TRONERAS,1965,40.0
TSIERRAGAS,1998,460.0
TUNEL CHUZA,1980,0.0
TUNJITA,1980,0.0
URRA,2000,338.0
ZIPAEMG2,1964,38.0
ZIPAEMG3,1976,66.0
ZIPAEMG4,1981,66.0
ZIPAEMG5,1985,66.0
