hydro_project,timeseries,hydro_avg_flow_mw,hydro_min_flow_mw
ESMERALDA,2023_Q3_holidays,26.264509999999998,0.0003
ESMERALDA,2023_Q3_labor,26.69255,1e-05
ESMERALDA,2023_Q4_holidays,29.075595,8.999999999999999e-05
ESMERALDA,2023_Q4_labor,29.810734999999998,1e-05
GUATAPE,2023_Q1_holidays,554.4600399999999,1.392
GUATAPE,2023_Q1_labor,554.472,0.672
GUATAPE,2023_Q2_holidays,484.50007,5.856
GUATAPE,2023_Q2_labor,483.108035,0.144
GUATAPE,2023_Q3_holidays,511.776,4.944
GUATAPE,2023_Q3_labor,486.216,0.912
GUATAPE,2023_Q4_holidays,457.89599999999996,8.688
GUATAPE,2023_Q4_labor,477.03603,0.072
GUAVIO,2023_Q1_holidays,905.72813,0.00148
GUAVIO,2023_Q1_labor,947.8574550000001,0.01912
GUAVIO,2023_Q2_holidays,723.856875,0.00874
GUAVIO,2023_Q2_labor,829.9236800000001,0.009859999999999999
GUAVIO,2023_Q3_holidays,618.2101749999999,5.9999999999999995e-05
GUAVIO,2023_Q3_labor,756.09907,0.00091
GUAVIO,2023_Q4_holidays,563.56053,0.00307
GUAVIO,2023_Q4_labor,757.3109300000001,0.00017999999999999998
H_ALBAN,2023_Q1_holidays,217.68,0.567
H_ALBAN,2023_Q1_labor,261.673,0.08
H_ALBAN,2023_Q2_holidays,48.9165,2.979
H_ALBAN,2023_Q2_labor,266.067,0.078
H_ALBAN,2023_Q3_holidays,13.955,2.799
H_ALBAN,2023_Q3_labor,220.2695,2.892
H_ALBAN,2023_Q4_holidays,217.509,2.913
H_ALBAN,2023_Q4_labor,267.844,2.778
H_Amalfi,2023_Q1_holidays,0.47123000000000004,5e-05
H_Amalfi,2023_Q1_labor,0.481315,1e-05
H_Amalfi,2023_Q2_holidays,0.42247,0.00266
H_Amalfi,2023_Q2_labor,0.42093,1e-05
H_Amalfi,2023_Q3_holidays,0.42878,1e-05
H_Amalfi,2023_Q3_labor,0.43119999999999997,1e-05
H_Amalfi,2023_Q4_holidays,0.46392,0.02855
H_Amalfi,2023_Q4_labor,0.45838,0.004030000000000001
H_America,2023_Q1_holidays,0.02002,8.999999999999999e-05
H_America,2023_Q1_labor,0.03388,8.999999999999999e-05
H_America,2023_Q2_holidays,0.017115,0.00053
H_America,2023_Q2_labor,0.02605,8.999999999999999e-05
H_America,2023_Q4_holidays,0.06758,0.00017999999999999998
H_America,2023_Q4_labor,0.04497,8.999999999999999e-05
H_Asnazu,2023_Q1_holidays,0.48719999999999997,0.22119999999999998
H_Asnazu,2023_Q1_labor,0.48736,0.06442
H_Asnazu,2023_Q2_holidays,0.486715,0.00017
H_Asnazu,2023_Q2_labor,0.48657,0.00377
H_Asnazu,2023_Q3_holidays,0.43754000000000004,0.17076
H_Asnazu,2023_Q3_labor,0.437105,0.0018
H_Asnazu,2023_Q4_holidays,0.44018999999999997,0.16075
H_Asnazu,2023_Q4_labor,0.44127,1e-05
H_AuresBajo,2023_Q1_holidays,13.751149999999999,1.2594
H_AuresBajo,2023_Q1_labor,13.4344,0.0101
H_AuresBajo,2023_Q2_holidays,16.539099999999998,0.7834
H_AuresBajo,2023_Q2_labor,16.3789,0.1435
H_AuresBajo,2023_Q3_holidays,16.3861,6.0883
H_AuresBajo,2023_Q3_labor,16.1349,0.0366
H_AuresBajo,2023_Q4_holidays,16.79925,3.6014
H_AuresBajo,2023_Q4_labor,16.901249999999997,0.0679
H_AutCemNare,2023_Q1_holidays,5.95467,0.891
H_AutCemNare,2023_Q1_labor,5.599,0.02933
H_AutCemNare,2023_Q2_holidays,6.64033,0.24567
H_AutCemNare,2023_Q2_labor,6.27367,0.00367
H_AutCemNare,2023_Q3_holidays,6.885999999999999,2.01667
H_AutCemNare,2023_Q3_labor,6.358,0.20167
H_AutCemNare,2023_Q4_holidays,6.71917,1.12933
H_AutCemNare,2023_Q4_labor,6.43133,0.00367
H_AutGold,2023_Q1_holidays,0.9770750000000001,0.00055
H_AutGold,2023_Q1_labor,0.4906,0.00055
H_AutGold,2023_Q2_holidays,0.010175,0.0022
H_AutGold,2023_Q2_labor,0.082775,0.00055
H_AutGold,2023_Q3_holidays,0.2761,0.00055
H_AutGold,2023_Q3_labor,0.16225,0.00055
