PERIOD,AnnualEmissions_tCO2_per_yr
2024,5.89
2025,5.13
2026,4.63
2027,3.96
2028,3.70
2029,3.63
2030,3.74
2031,2.89
2032,2.60
2033,2.59
2034,3.01
2035,2.80
2036,2.97
2037,3.69
