Id,Values_code,Values_MarketType,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Agente,EPSC,REGULADO,71914.0,66254.0,63080.0,60570.0,63628.0,76677.0,84528.0,77580.0,86435.0,94639.0,104352.0,111958.0,106449.0,106262.0,110431.0,112538.0,112388.0,140450.0,163580.0,175902.0,166402.0,149123.0,123199.0,100709.0,2024-04-30
Agente,EPTC,REGULADO,5899.23,5899.23,5899.23,5899.23,5899.23,5899.23,5899.23,5899.23,5899.23,5903.59,5911.74,5918.97,5914.14,5913.28,5918.63,5920.35,5920.04,5935.5,5945.04,5957.03,5952.95,5943.24,5925.03,5907.96,2024-04-30
Agente,ESSC,REGULADO,73904.16,68963.5,66168.96,64137.36,65571.39,71173.05,71451.85,76891.23,88420.41,93681.04,99944.18,104430.28,98725.07,99763.13,106540.73,107786.72,105883.73,118089.55,128940.08,131488.76,126256.57,118212.7,106324.46,94705.29,2024-04-30
Agente,EXEC,REGULADO,14823.6,14299.37,13973.07,13586.96,14353.51,16524.74,16666.67,16666.67,16666.67,16666.67,16666.67,16666.67,16666.67,16666.67,16666.67,16666.67,16666.67,16666.67,16666.67,16666.67,16666.67,16666.67,15470.37,14404.06,2024-04-30
Agente,GNCC,REGULADO,80637.87,79096.06,77723.25,77360.18,77065.74,79811.32,92391.03,110417.19,124548.03,131624.68,137896.87,141356.75,136514.82,137851.46,139319.58,135756.31,131203.82,123931.35,116760.45,112014.0,106414.43,98278.35,90848.13,86974.67,2024-04-30
Agente,HLAC,REGULADO,57955.97,56797.04,56042.91,55587.48,55696.3,57894.93,58781.76,59517.44,61321.49,62837.77,64700.01,66076.34,64852.45,64940.53,66171.9,66484.67,66464.7,68256.0,72464.18,74286.68,72452.76,69388.7,65263.13,61561.89,2024-04-30
Agente,ITLC,REGULADO,,,,,,,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,,,,,,,,2024-04-30
Agente,NEUC,REGULADO,12014.0,12014.0,12014.0,12014.0,12014.0,12014.0,12440.48,13825.61,15447.26,16933.03,18397.42,19205.09,19315.8,18800.0,17769.64,16259.97,14391.74,12607.81,12014.0,12014.0,12014.0,12014.0,12014.0,12014.0,2024-04-30
Agente,QIEC,REGULADO,1893.55,1253.95,1080.15,891.88,961.61,1520.05,2490.17,2834.52,4497.39,5009.87,5446.36,6061.07,5672.08,5672.67,5767.76,5649.8,5591.93,5799.38,5472.97,5570.92,5140.57,4520.85,3302.92,2077.39,2024-04-30
Agente,RTQC,REGULADO,4923.45,4912.45,4907.45,4908.45,4895.45,4911.45,4965.45,4945.45,5012.45,5029.45,5064.45,5080.45,5031.45,5059.45,5071.45,5065.45,5056.45,5161.45,5171.45,5148.45,5087.45,5024.45,4993.45,4963.45,2024-04-30
