Id,Values_code,Values_MarketType,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Sistema,Sistema,NO REGULADO,,,,,,,1288.99,2754.8,3387.09,3563.76,3743.19,3633.16,3607.8,3613.92,3515.06,3140.67,1906.32,200.26,,,,,,,2024-04-29
Sistema,Sistema,REGULADO,1691803.67,1596741.51,1549311.15,1532111.79,1667868.69,1970344.51,2110638.64,2092629.99,2266189.52,2372342.27,2483766.81,2571528.76,2517589.73,2497344.9,2533737.14,2523445.54,2487232.45,2781363.33,3003787.65,3098466.31,2984730.33,2739171.24,2424282.37,2102153.99,2024-04-29
Sistema,Sistema,NO REGULADO,,,,,,,1288.99,2754.8,3387.09,3563.76,3743.19,3633.16,3607.8,3613.92,3515.06,3140.67,1906.32,200.26,,,,,,,2024-04-30
Sistema,Sistema,REGULADO,1695627.89,1600054.34,1552636.73,1534691.81,1670388.19,1972786.63,2110854.1,2093086.54,2266970.16,2373524.77,2485114.35,2572902.77,2518868.92,2498366.52,2534547.75,2523914.64,2486241.82,2780535.18,3002746.41,3097498.64,2983757.49,2738239.92,2422260.08,2100669.36,2024-04-30
Sistema,Sistema,NO REGULADO,,,,,,,1287.47,2679.1,3275.53,3442.83,3610.87,3507.26,3483.17,3487.59,3389.67,3021.13,1814.54,187.55,,,,,,,2024-05-01
Sistema,Sistema,REGULADO,1766667.77,1658181.34,1589673.89,1552352.26,1553759.3,1533245.71,1624393.66,1672088.86,1857259.81,2003305.99,2109911.49,2180637.43,2201891.83,2152777.46,2095365.71,2047650.92,2026911.84,2390628.79,2670395.97,2824969.66,2765008.04,2577827.6,2281336.84,2062491.21,2024-05-01
