Id,Values_Name,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
RecursoComb,2S6Q,BIOGAS,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-29
RecursoComb,2S6S,CARBON,,,,,,,,,,,,,,,,,,,,0.0,,,,,2024-04-29
RecursoComb,2S8G,CARBON,,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,2024-04-29
RecursoComb,2S8I,GAS,0.0,0.0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-29
RecursoComb,2S8S,BIOGAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-29
RecursoComb,2U5P,CARBON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,2024-04-29
RecursoComb,2U8Y,GAS,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2024-04-29
RecursoComb,2U91,GAS,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2024-04-29
RecursoComb,2U93,GAS,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2024-04-29
RecursoComb,2UP2,BAGAZO,0.00204,0.00204,0.00204,0.00204,0.00204,0.00204,0.00204,0.00204,0.00204,0.00204,0.00204,0.00204,0.00204,0.00204,0.00204,0.00204,0.00204,0.00204,0.00204,0.00204,0.00204,0.00204,0.00204,0.00204,2024-04-29
RecursoComb,2V25,CARBON,0.00012,0.00013,0.00014,0.00014,0.00014,0.00014,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00014,0.00014,0.00012,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,2024-04-29
RecursoComb,2V27,GAS,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-29
RecursoComb,2WFN,GAS,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2024-04-29
