Id,Value,Date
Sistema,188930505.0,2024-04-29
Sistema,210580156.0,2024-04-30
Sistema,272965372.0,2024-05-01
Sistema,300322629.0,2024-05-02
Sistema,314598020.0,2024-05-03
Sistema,255139406.0,2024-05-04
Sistema,262418219.0,2024-05-05
