Id,Values_Name,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
RecursoComb,CIP1,CARBON,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,2024-04-29
RecursoComb,CIS1,BAGAZO,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,2024-04-29
RecursoComb,IRG1,BAGAZO,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,2024-04-29
RecursoComb,PNC1,BAGAZO,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,2024-04-29
RecursoComb,PNC1,CARBON,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,2024-04-29
RecursoComb,PPN1,GAS,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,2024-04-29
RecursoComb,RPL1,BAGAZO,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,2024-04-29
RecursoComb,TMB1,GAS,,,,,,,,,,,,,,,,,10.96942,14.36229,14.34953,14.34316,14.273,14.18372,14.32402,14.32402,2024-04-29
RecursoComb,TPD1,GAS,5.64294,5.60614,5.57967,5.53854,5.52935,5.53905,5.4724,5.54122,5.47897,5.62489,5.12718,5.38324,5.65805,5.54523,5.61787,5.49236,5.37942,5.48044,2.37533,1.30338,1.24911,1.24139,1.21327,1.28451,2024-04-29
RecursoComb,2S6Q,BIOGAS,0.01024,0.63463,0.09212,0.20472,4.87234,4.9747,7.77936,3.19363,0.71652,1.14643,1.11572,,,,,,,,3.71567,3.61331,8.27069,1.71965,4.28888,0.80864,2024-04-30
RecursoComb,2S6S,CARBON,,,,,,,,,,,,,,,0.02073,,,,,0.68413,,,,,2024-04-30
RecursoComb,2S8I,GAS,25.51583,20.7687,30.85635,49.25148,46.28452,49.84487,51.03165,45.69113,27.88939,15.42817,32.04313,36.19687,33.8233,34.4167,32.04313,20.7687,12.46122,23.14226,35.60348,35.01009,37.38365,38.57043,39.75722,32.04313,2024-04-30
RecursoComb,2S8S,BIOGAS,10.47552,10.46324,10.47552,10.43048,10.51851,10.50418,10.52466,10.38135,10.36088,8.0455,0.38078,,,,,,,,,,,,,,2024-04-30
RecursoComb,2U8Y,GAS,126.01428,125.98711,125.99674,125.99343,125.98513,126.03405,126.02346,125.94987,125.60637,124.20796,125.38411,125.70561,125.75956,125.72959,125.24578,124.3292,124.36185,125.08596,125.88769,125.92474,125.94649,125.96237,125.98086,125.97697,2024-04-30
RecursoComb,2U91,GAS,123.78047,123.76689,123.77582,123.77033,123.77008,123.84648,123.84278,123.77122,123.53232,122.81344,123.43258,123.48596,123.53761,123.54508,123.34826,122.95285,123.00432,123.52167,123.69852,123.69833,123.7174,123.72511,123.73621,123.73723,2024-04-30
RecursoComb,2U93,GAS,123.86912,123.83436,123.85758,123.8489,123.83538,123.89597,123.95248,123.91836,123.59221,122.7718,122.6063,122.68206,122.7218,122.86025,123.13608,122.7975,122.83123,123.00356,123.56204,123.62403,123.68793,123.70018,123.84253,120.21165,2024-04-30
RecursoComb,2UP2,BAGAZO,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,2024-04-30
RecursoComb,2V25,CARBON,93.48016,95.44962,97.09084,97.67822,98.14467,98.09284,99.59585,98.64567,75.42679,47.95804,94.87951,73.52644,71.78157,71.93705,71.86795,72.55899,64.6466,45.57395,45.95403,47.14607,46.92148,46.61051,47.87166,49.53015,2024-04-30
RecursoComb,2V27,GAS,0.29973,0.68441,0.59086,0.12982,0.24627,0.20618,0.14891,0.14032,0.22527,0.46582,0.46773,0.67964,0.74168,0.546,0.30355,0.45341,0.44196,0.53932,0.46486,1.01564,0.90682,0.83046,2.19259,2.33673,2024-04-30
RecursoComb,2WFN,GAS,49.95551,49.77056,49.73867,49.77056,49.92362,49.8726,51.02056,52.24505,52.23868,52.87643,53.75016,53.71827,54.10093,54.25399,54.75144,55.80374,56.51165,56.754,53.56521,52.78077,52.44914,52.42363,52.49378,52.68511,2024-04-30
RecursoComb,2XXR,GAS,0.46027,0.45992,0.46112,0.45977,0.46173,0.40823,0.37497,0.38531,0.45175,0.31434,,0.28589,0.57397,0.55674,0.55919,0.5647,0.57249,0.56203,0.54737,0.54768,0.54525,0.54577,0.55374,0.56006,2024-04-30
