Id,Values_Activity,Values_Subactivity,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
CIIU,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL,"ACTIVIDADES DE LA PRÁCTICA MÉDICA, SIN INTERNACIÓN",8621,2117.18,2090.53,2059.63,2016.13,2046.11,2207.8,2765.72,3457.25,3697.99,3837.29,4038.37,3948.02,3917.16,4029.51,4101.7,4189.38,4104.87,3594.72,3208.57,2873.32,2749.7,2593.98,2488.39,2389.04,2024-04-29
CIIU,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL,ACTIVIDADES DE LA PRÁCTICA ODONTOLÓGICA,8622,78.02,75.48,75.77,75.74,74.62,93.97,115.73,152.67,164.89,172.3,169.29,174.5,166.32,159.42,169.18,174.4,175.72,157.28,136.11,126.04,117.24,113.52,110.13,108.29,2024-04-29
CIIU,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL,ACTIVIDADES DE APOYO DIAGNÓSTICO,8691,1189.37,1190.39,1155.96,1157.56,1184.86,1442.2,1819.51,2143.59,2405.62,2504.05,2453.69,2487.18,2477.33,2477.99,2507.12,2495.32,2509.46,2277.58,2011.82,1742.89,1646.9,1513.31,1409.17,1331.89,2024-04-29
CIIU,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL,ACTIVIDADES DE APOYO TERAPÉUTICO,8692,850.87,828.81,799.29,736.2,735.68,787.01,1026.21,1266.12,1318.94,1385.15,1440.42,1488.83,1439.46,1446.9,1519.3,1550.58,1516.83,1421.8,1262.42,1159.68,1055.67,999.17,953.46,910.17,2024-04-29
CIIU,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL,OTRAS ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA,8699,1426.46,1400.24,1362.22,1359.46,1418.51,1621.63,2019.19,2240.3,2361.83,2445.68,2464.22,2559.18,2498.28,2522.53,2596.3,2651.74,2568.76,2436.95,2286.9,2167.75,1857.54,1662.72,1593.1,1565.62,2024-04-29
CIIU,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL,OTRAS ACTIVIDADES DE ATENCIÓN EN INSTITUCIONES CON ALOJAMIENTO,8790,4601.94,4624.9,4501.39,4489.58,4479.64,4841.37,5441.38,6124.34,6372.99,6485.1,6603.81,6715.75,6626.11,6616.1,6613.58,6538.38,6273.91,6063.58,5909.4,5617.63,5298.26,5048.37,4856.46,4795.34,2024-04-29
CIIU,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL,OTRAS ACTIVIDADES DE ASISTENCIA SOCIAL SIN ALOJAMIENTO,8890,19.25,19.65,19.71,19.5,19.42,19.52,20.71,23.63,25.68,27.5,28.8,28.4,27.98,29.33,26.68,28.24,24.52,22.87,21.74,20.63,17.89,18.22,19.28,16.48,2024-04-29
CIIU,ACTIVIDADES DE ORGANIZACIONES Y ENTIDADES EXTRATERRITORIALES,ACTIVIDADES DE ORGANIZACIONES Y ENTIDADES EXTRATERRITORIALES,9900,3045.04,3060.58,3098.74,3188.32,3292.82,3364.24,1881.7,1984.83,2131.74,2175.45,2233.15,2258.21,2297.83,2324.53,2319.13,2265.88,2209.79,2172.55,3687.87,3641.47,3591.65,3526.3,3438.7,3310.75,2024-04-29
CIIU,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,"ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE MAQUINARIA, EQUIPO Y BIENES TANGIBLES N.C.P.",7730,169.74,157.85,168.52,158.46,163.69,142.28,145.57,203.96,228.48,234.06,237.06,224.98,221.96,248.66,258.4,261.09,222.22,183.26,194.09,183.87,156.91,152.43,170.12,183.32,2024-04-29
CIIU,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,"ARRENDAMIENTO DE PROPIEDAD INTELECTUAL Y PRODUCTOS SIMILARES, EXCEPTO OBRAS PROTEGIDAS POR DERECHOS DE AUTOR",7740,373.36,371.66,370.45,362.56,379.66,430.93,667.16,924.64,1044.91,1076.6,1138.08,1177.32,1199.94,1210.46,1210.13,1194.85,1161.02,943.17,716.24,595.65,536.85,499.62,466.36,421.67,2024-04-29
CIIU,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,ACTIVIDADES DE LAS AGENCIAS DE VIAJE,7911,22.18,19.89,19.33,17.35,18.9,25.79,39.58,53.94,61.28,66.35,65.23,68.8,77.28,75.48,80.04,79.48,74.42,67.96,58.45,55.12,43.45,41.37,38.88,34.57,2024-04-29
CIIU,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,OTROS SERVICIOS DE RESERVA Y ACTIVIDADES RELACIONADAS,7990,1488.25,1302.26,1280.87,1269.33,1278.3,1084.97,1111.25,1320.58,1586.27,1632.73,1538.07,1573.93,1672.24,1660.81,1626.13,1633.2,1557.6,1715.28,1733.49,1492.2,1227.56,1255.58,1387.59,1501.66,2024-04-29
CIIU,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,ACTIVIDADES DE SEGURIDAD PRIVADA,8010,96.86,90.73,91.55,93.59,89.09,109.19,128.58,153.53,164.48,159.88,169.25,176.99,180.17,188.11,195.6,187.18,183.45,168.15,143.52,134.55,131.53,121.21,122.03,120.12,2024-04-29
CIIU,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,ACTIVIDADES DE SERVICIOS DE SISTEMAS DE SEGURIDAD,8020,61.22,61.23,61.23,61.24,61.08,61.18,,,,,,,,,,,,,61.24,61.31,61.31,61.38,61.31,61.23,2024-04-29
CIIU,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,ACTIVIDADES DE DETECTIVES E INVESTIGADORES PRIVADOS,8030,100.96,94.47,96.09,100.13,100.36,105.04,153.35,189.07,202.92,181.65,158.32,162.89,121.31,225.3,267.86,261.44,243.75,214.61,190.07,158.77,140.68,122.36,99.73,94.84,2024-04-29
CIIU,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,ACTIVIDADES COMBINADAS DE APOYO A INSTALACIONES,8110,162.91,162.56,164.73,164.61,163.1,140.45,156.5,211.72,196.47,242.92,400.03,483.05,471.77,461.24,466.1,473.39,586.19,630.42,590.05,578.92,493.63,212.03,197.94,172.01,2024-04-29
CIIU,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,ACTIVIDADES DE PAISAJISMO Y SERVICIOS DE MANTENIMIENTO CONEXOS,8130,202.25,210.5,200.71,198.34,206.74,223.0,247.78,255.26,295.59,283.43,265.12,260.61,257.8,238.59,212.54,202.12,233.38,230.94,260.27,257.33,224.33,220.05,218.51,212.98,2024-04-29
CIIU,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,ACTIVIDADES COMBINADAS DE SERVICIOS ADMINISTRATIVOS DE OFICINA,8211,2293.13,2281.55,2281.76,2289.76,2282.41,2381.39,2800.32,3224.56,3393.8,3353.03,3554.4,3567.19,3542.6,3812.12,3723.84,3744.28,3724.5,3251.35,2882.86,2846.56,2545.87,2450.94,2359.45,2313.31,2024-04-29
CIIU,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,"FOTOCOPIADO, PREPARACIÓN DE DOCUMENTOS Y OTRAS ACTIVIDADES ESPECIALIZADAS DE APOYO A OFICINA",8219,15.9,15.86,15.81,15.73,15.59,26.74,90.01,113.51,117.89,113.75,120.06,124.84,81.83,101.21,121.64,107.52,104.91,85.28,65.18,70.98,57.81,43.29,43.33,42.44,2024-04-29
CIIU,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,ACTIVIDADES DE CENTROS DE LLAMADAS (CALL CENTER),8220,1269.49,1243.31,1257.14,1246.42,1253.47,1368.03,1769.57,2221.23,2426.88,2643.91,2737.9,2858.85,2986.35,3002.33,3010.86,2968.74,2908.46,2695.81,2386.73,2202.12,1986.9,1862.48,1539.33,1418.25,2024-04-29
CIIU,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,ORGANIZACIÓN DE CONVENCIONES Y EVENTOS COMERCIALES,8230,342.82,335.36,334.64,332.95,327.55,338.44,482.44,661.28,651.83,670.96,639.93,643.48,605.48,616.62,662.33,745.52,737.23,696.97,635.39,616.45,571.66,543.07,531.86,518.43,2024-04-29
CIIU,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,ACTIVIDADES DE ENVASE Y EMPAQUE,8292,23.53,23.5,23.19,23.81,21.74,23.66,31.67,50.07,48.04,50.54,57.43,62.86,62.1,55.0,40.83,28.05,26.99,25.78,26.81,27.65,31.02,33.5,32.8,33.44,2024-04-29
CIIU,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,OTRAS ACTIVIDADES DE SERVICIO DE APOYO A LAS EMPRESAS N.C.P.,8299,5014.91,5291.11,5110.26,5103.03,5292.31,5467.16,5974.97,6457.19,6729.92,6700.25,6540.7,6810.9,7011.02,7144.48,7321.89,7161.9,6922.0,6777.6,6769.71,7015.37,6836.07,6865.82,6549.52,6621.35,2024-04-29
CIIU,ACTIVIDADES FINANCIERAS Y DE SEGUROS,BANCO CENTRAL,6411,1384.02,1381.21,1428.47,1445.69,1441.59,1763.06,3211.55,4742.28,5374.97,5437.46,5474.71,5454.06,5317.45,5190.37,5126.19,4926.6,3939.9,2825.89,2207.21,1935.34,1692.57,1478.24,1442.97,1415.67,2024-04-29
CIIU,ACTIVIDADES FINANCIERAS Y DE SEGUROS,BANCOS COMERCIALES,6412,4450.99,4455.33,4451.9,4445.2,4478.64,4747.65,6746.44,8519.81,9250.59,9206.75,9279.74,9128.93,9050.51,9150.05,9262.29,9347.86,8326.72,7181.68,5858.25,5351.02,5076.94,4893.6,4764.64,4697.25,2024-04-29
CIIU,ACTIVIDADES FINANCIERAS Y DE SEGUROS,ACTIVIDADES DE LAS CORPORACIONES FINANCIERAS,6421,173.27,171.65,171.75,169.15,170.2,175.95,321.64,330.38,343.68,346.13,366.77,356.61,364.55,368.19,381.82,407.52,392.07,223.02,196.05,192.72,192.08,190.99,187.6,180.94,2024-04-29
CIIU,ACTIVIDADES FINANCIERAS Y DE SEGUROS,BANCA DE SEGUNDO PISO,6423,5.4,5.42,5.16,5.3,5.01,5.16,3.28,0.16,3.99,45.2,31.29,27.67,19.03,30.22,29.51,57.92,68.74,86.48,86.86,31.66,7.53,7.35,6.85,6.49,2024-04-29
