generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
H_Silvia,H_Silvia,Hidro,Surocciden,Water,2023,2.7533382171023018,3827.1401217721996,0.0,0.38,105438.60344905448,16636.4,45.727089679280304,0.827126356976178,,
H_Silvia,H_Silvia,Hidro,Surocciden,Water,2024,2.7533382179228996,3827.14012291283,0.0,0.38,105438.60344905448,16636.4,45.727089666066185,0.8271263572226926,,
H_Suba,H_Suba,Hidro,Oriental,Water,2023,16.181397444735303,22492.14244818207,0.0,2.6,721422.0235987939,113828.0,53.00791658918474,0.7104582650480901,,
H_Suba,H_Suba,Hidro,Oriental,Water,2024,16.181397445538778,22492.142449298903,0.0,2.6,721422.0235987939,113828.0,53.00791658662169,0.7104582650833673,,
H_Sueva2,H_Sueva2,Hidro,Oriental,Water,2023,30.51721172156809,42418.924292979646,0.0,6.0,1664820.054458755,262680.0,64.55108011586431,0.5806166613692557,,
H_Sueva2,H_Sueva2,Hidro,Oriental,Water,2024,30.517211727811524,42418.924301658015,0.0,6.0,1664820.054458755,262680.0,64.55108010294234,0.5806166614880426,,
H_TuluaAlto,H_TuluaAlto,Menores,Surocciden,RunofRiver,2023,96.40117070085073,133997.62727418248,0.0,19.9,2534265.0828996026,871221.9999999999,36.71620048222661,0.5529999925475019,,
H_TuluaAlto,H_TuluaAlto,Menores,Surocciden,RunofRiver,2024,96.4011704150052,133997.62687685722,0.0,19.9,2534265.0828996026,871221.9999999999,36.71620058697468,0.5529999909077647,,
H_TuluaBajo,H_TuluaBajo,Menores,Surocciden,RunofRiver,2023,99.90654131141788,138870.09242287086,0.0,19.9,2536056.082958189,871221.9999999999,35.49465459250951,0.5731083574918994,,
H_TuluaBajo,H_TuluaBajo,Menores,Surocciden,RunofRiver,2024,99.90654131141788,138870.09242287083,0.0,19.9,2536056.082958189,871221.9999999999,35.49465459250951,0.5731083574918994,,
H_Tunjita,H_Tunjita,Hidro,Oriental,Water,2023,103.23271885450413,143493.4792077607,0.0,19.7,2514114.0822404334,862466.0,34.09842926261949,0.5982008602467614,,
H_Tunjita,H_Tunjita,Hidro,Oriental,Water,2024,103.23271885539141,143493.47920899405,0.0,19.7,2514114.0822404334,862466.0,34.09842926233836,0.5982008602519029,,
H_Union,H_Union,Hidro,Surocciden,Water,2023,5.569330623321395,7741.369566416739,0.0,0.7,194229.0063535214,30645.999999999996,41.767384925194506,0.9082404799937042,,
H_Union,H_Union,Hidro,Surocciden,Water,2024,5.5693306839067445,7741.369650630373,0.0,0.7,194229.0063535214,30645.999999999996,41.76738448595357,0.9082404898738982,,
H_Urrao,H_Urrao,Hidro,Antioquia,Water,2023,6.254256101486039,8693.415981065593,0.0,1.03,285794.10934875294,45093.4,54.29597378481713,0.6931613358919668,,
H_Urrao,H_Urrao,Hidro,Antioquia,Water,2024,6.254256102248926,8693.415982126007,0.0,1.03,285794.10934875294,45093.4,54.29597377836373,0.6931613359765177,,
H_Usaquen,H_Usaquen,Hidro,Oriental,Water,2023,7.42422999980799,10319.679699733106,0.0,1.8,499446.0163376265,78804.0,79.27686723775821,0.47084157786707176,,
H_Usaquen,H_Usaquen,Hidro,Oriental,Water,2024,7.424230000587725,10319.679700816936,0.0,1.8,499446.0163376265,78804.0,79.27686722957809,0.47084157791652226,,
H_VentanaA,H_VentanaA,Hidro,Surocciden,Water,2023,15.579049927539824,21654.879399280355,0.0,2.5,693675.0226911479,109450.0,52.94160465025699,0.7113721428100375,,
H_VentanaA,H_VentanaA,Hidro,Surocciden,Water,2024,15.579049928313914,21654.879400356338,0.0,2.5,693675.0226911479,109450.0,52.9416046476955,0.7113721428453841,,
H_VentanaB,H_VentanaB,Hidro,Surocciden,Water,2023,13.947490011675981,19387.011116229613,0.0,2.5,693675.0226911479,109450.0,58.97204680690367,0.6368716900308666,,
H_VentanaB,H_VentanaB,Hidro,Surocciden,Water,2024,13.947490012445547,19387.011117299306,0.0,2.5,693675.0226911479,109450.0,58.972046803726535,0.6368716900660065,,
H_Violetas,H_Violetas,Hidro,Antioquia,Water,2023,3.924114718847216,5454.51945919763,0.0,0.95,263596.5086226362,41591.0,79.16232076239883,0.4715350539350175,,
H_Violetas,H_Violetas,Hidro,Antioquia,Water,2024,3.9241147195993697,5454.519460243124,0.0,0.95,263596.5086226362,41591.0,79.16232074749183,0.47153505402539886,,
H_Zeus,H_Zeus,Hidro,Antioquia,Water,2023,39.67018310719663,55141.5545190033,0.0,9.9,2746953.089856946,433422.0,81.5604161854496,0.4574302742862025,,
H_Zeus,H_Zeus,Hidro,Antioquia,Water,2024,39.67018310794104,55141.55452003806,0.0,9.9,2746953.089856946,433422.0,81.5604161839452,0.4574302742947861,,
INSULA,INSULA,Hidro,Surocciden,Water,2023,112.55431312420302,156450.49524264218,0.0,19.0,2255490.073780455,831820.0,28.819513699520574,0.6762455727241228,,
INSULA,INSULA,Hidro,Surocciden,Water,2024,112.55431312496988,156450.49524370814,0.0,19.0,2255490.073780455,831820.0,28.81951369933369,0.6762455727287302,,
ITUANGO,ITUANGO,Hidro,Antioquia,Water,2023,3139.1050349124453,4363355.998528298,0.0,1200.0,332964010.891751,52536000.0,124.1957062775229,0.298621103016785,,
ITUANGO,ITUANGO,Hidro,Antioquia,Water,2024,3139.105034831143,4363355.998415288,0.0,1200.0,332964010.891751,52536000.0,124.19570628070353,0.2986211030090508,,
JAGUAS,JAGUAS,Hidro,Antioquia,Water,2023,869.0255120197861,1207945.4617075026,0.0,170.0,20196000.6606414,7442600.0,33.19413034872113,0.5835519151354995,,
JAGUAS,JAGUAS,Hidro,Antioquia,Water,2024,869.0255120168632,1207945.4617034397,0.0,170.0,20196000.6606414,7442600.0,33.1941303488281,0.5835519151335369,,
LA TASAJERA,LA TASAJERA,Hidro,Antioquia,Water,2023,1991.324350525142,2767940.847229947,0.0,306.0,36435421.191857144,13396680.0,26.41460293759561,0.7428762462042042,,
LA TASAJERA,LA TASAJERA,Hidro,Antioquia,Water,2024,1991.3243505248931,2767940.847229601,0.0,306.0,36435421.191857144,13396680.0,26.41460293759874,0.7428762462041113,,
