generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
S_Cienaguero,S_Cienaguero,pv_solar,Caribe,Solar,2024,17.519078196364113,17519.078196364117,0.0,9.0,1074870.0351606072,143730.0,70.5584563012861,0.22221053014160463,,
S_Dulima,S_Dulima,pv_solar,Surocciden,Solar,2023,39.89669125764799,39896.69125764799,0.0,21.9,2615517.085557477,349743.0,75.32345871511468,0.20796423791021862,,
S_Dulima,S_Dulima,pv_solar,Surocciden,Solar,2024,39.89669125764799,39896.691257647995,0.0,21.9,2615517.085557477,349743.0,75.32345871511468,0.20796423791021862,,
S_El_Paso,S_El_Paso,pv_solar,Caribe,Solar,2023,132.3663682873929,132366.36828739292,0.0,68.0,8121240.26565792,1085960.0,70.55845646280267,0.22221052962562593,,
S_El_Paso,S_El_Paso,pv_solar,Caribe,Solar,2024,132.3663682170404,132366.3682170404,0.0,68.0,8121240.26565792,1085960.0,70.55845649977286,0.2222105295075214,,
S_Espinal,S_Espinal,pv_solar,Antioquia,Solar,2023,18.035491091066827,18035.491091066826,0.0,9.9,1182357.038676668,158103.0,75.32345656174631,0.2079642439355521,,
S_Espinal,S_Espinal,pv_solar,Antioquia,Solar,2024,18.035491148712367,18035.49114871237,0.0,9.9,1182357.038676668,158103.0,75.3234563241916,0.20796424460025326,,
S_Ferch2,S_Ferch2,pv_solar,Nordeste,Solar,2023,0.019713714338966303,19.7137143389663,0.0,0.01,1194.3000390673412,159.70000000000002,69.68315203244134,0.22504240112975224,,
S_Ferch2,S_Ferch2,pv_solar,Nordeste,Solar,2024,0.019713077550791144,19.71307755079114,0.0,0.01,1194.3000390673412,159.70000000000002,69.6853706925635,0.22503513185834637,,
S_Flandes,S_Flandes,pv_solar,Surocciden,Solar,2023,39.896692057568806,39896.692057568805,0.0,21.9,2615517.085557477,349743.0,75.32345722494397,0.2079642420798607,,
S_Flandes,S_Flandes,pv_solar,Surocciden,Solar,2024,39.896691325807616,39896.69132580761,0.0,21.9,2615517.085557477,349743.0,75.32345858814026,0.20796423826550536,,
S_Fundacion,S_Fundacion,pv_solar,Caribe,Solar,2023,194.6564239736034,194656.4239736034,0.0,100.0,11943000.390673412,1597000.0,70.55845645510018,0.22221052965023216,,
S_Fundacion,S_Fundacion,pv_solar,Caribe,Solar,2024,194.65642388824807,194656.42388824804,0.0,100.0,11943000.390673412,1597000.0,70.55845648560103,0.22221052955279455,,
S_Girasoles,S_Girasoles,pv_solar,Nordeste,Solar,2023,18.727020505364784,18727.020505364788,0.0,9.5,1134585.037113974,151715.0,69.68684939739795,0.22503028725504423,,
S_Girasoles,S_Girasoles,pv_solar,Nordeste,Solar,2024,18.72702041748197,18727.020417481966,0.0,9.5,1134585.037113974,151715.0,69.68684971973398,0.22503028619901425,,
S_Guayepo,S_Guayepo,pv_solar,Caribe,Solar,2024,720.2287682488713,720228.7682488714,0.0,370.0,44189101.44549163,5908900.0,70.5584564988947,0.2222105295103268,,
S_Harinas,S_Harinas,pv_solar,Surocciden,Solar,2023,4.463328969019072,4463.328969019072,0.0,2.45,292603.5095714986,39126.5,75.32345047253027,0.2079642609737709,,
S_Harinas,S_Harinas,pv_solar,Surocciden,Solar,2024,4.463328510609906,4463.3285106099065,0.0,2.45,292603.5095714986,39126.5,75.32345810597039,0.20796423961466337,,
S_HeliosI,S_HeliosI,pv_solar,Caribe,Solar,2023,31.1450279482182,31145.0279482182,0.0,16.0,1910880.062507746,255520.0,70.55845620397605,0.22221053045247,,
S_HeliosI,S_HeliosI,pv_solar,Caribe,Solar,2024,31.145027900869543,31145.027900869547,0.0,16.0,1910880.062507746,255520.0,70.55845630972325,0.2222105301146514,,
S_LaLoma,S_LaLoma,pv_solar,Caribe,Solar,2024,291.9846358520209,291984.63585202093,0.0,150.0,17914500.58601012,2395500.0,70.55845648092017,0.22221052956774798,,
S_LaMata,S_LaMata,pv_solar,Nordeste,Solar,2024,157.7012204746108,157701.22047461083,0.0,80.0,9554400.31253873,1277600.0,69.68685150272907,0.2250302803576067,,
S_Lanceros,S_Lanceros,pv_solar,Oriental,Solar,2023,16.5780792220801,16578.079222080094,0.0,9.1,1086813.0355512805,145327.0,75.32344960145994,0.20796426341111063,,
S_Lanceros,S_Lanceros,pv_solar,Oriental,Solar,2024,16.578077980843013,16578.077980843012,0.0,9.1,1086813.0355512805,145327.0,75.32345516621974,0.20796424784037093,,
S_Medin,S_Medin,pv_solar,Surocciden,Solar,2023,20.95031732707543,20950.317327075427,0.0,11.5,1373445.0449274424,183655.0,75.32345871511468,0.20796423791021865,,
S_Medin,S_Medin,pv_solar,Surocciden,Solar,2024,20.950317327075428,20950.317327075427,0.0,11.5,1373445.0449274424,183655.0,75.32345871511468,0.20796423791021862,,
S_Montelibano,S_Montelibano,pv_solar,Caribe,Solar,2023,19.27098621489315,19270.98621489315,0.0,9.9,1182357.038676668,158103.0,70.55845558338491,0.22221053243500236,,
S_Montelibano,S_Montelibano,pv_solar,Caribe,Solar,2024,19.270986109717693,19270.986109717694,0.0,9.9,1182357.038676668,158103.0,70.5584559630148,0.2222105312222417,,
S_Nabusimake,S_Nabusimake,pv_solar,Caribe,Solar,2024,194.6564239163235,194656.42391632346,0.0,100.0,11943000.390673412,1597000.0,70.55845647556856,0.2222105295848441,,
S_Paila,S_Paila,pv_solar,Surocciden,Solar,2023,18.035490568525805,18035.490568525805,0.0,9.9,1182357.038676668,158103.0,75.32345871511468,0.20796423791021865,,
S_Paila,S_Paila,pv_solar,Surocciden,Solar,2024,18.03549110573607,18035.491105736073,0.0,9.9,1182357.038676668,158103.0,75.32345650129501,0.20796424410470069,,
S_Palmira3,S_Palmira3,pv_solar,Surocciden,Solar,2023,13.481074422593395,13481.074422593394,0.0,7.4,883782.0289098326,118178.0,75.32345505270807,0.20796424815798764,,
S_Palmira3,S_Palmira3,pv_solar,Surocciden,Solar,2024,13.481074194458706,13481.074194458706,0.0,7.4,883782.0289098326,118178.0,75.32345631045341,0.20796424463869403,,
S_Palmira3_Franca,S_Palmira3_Franca,pv_solar,Surocciden,Solar,2023,5.28312369539682,5283.12369539682,0.0,2.9,346347.01132952893,46313.0,75.32345596444263,0.2079642456068658,,
S_Palmira3_Franca,S_Palmira3_Franca,pv_solar,Surocciden,Solar,2024,5.283123767169432,5283.1237671694325,0.0,2.9,346347.01132952893,46313.0,75.32345495473912,0.20796424843211425,,
S_ParqueUrra,S_ParqueUrra,pv_solar,Caribe,Solar,2024,38.73662838024035,38736.62838024035,0.0,19.9,2376657.077744009,317803.0,70.55845643805334,0.2222105297046898,,
S_PetaCesaII,S_PetaCesaII,pv_solar,Nordeste,Solar,2023,19.515526513448258,19515.526513448254,0.0,9.9,1182357.038676668,158103.0,69.68684981432345,0.2250302858891224,,
S_PetaCesaII,S_PetaCesaII,pv_solar,Nordeste,Solar,2024,19.515526313539684,19515.52631353968,0.0,9.9,1182357.038676668,158103.0,69.6868505179217,0.22503028358400998,,
S_PortonSol,S_PortonSol,pv_solar,Antioquia,Solar,2023,168.06857833065962,168068.57833065963,0.0,102.0,12181860.39848688,1628940.0,83.17360160752588,0.18809716439549154,,
S_PortonSol,S_PortonSol,pv_solar,Antioquia,Solar,2024,168.06857849843635,168068.57849843634,0.0,102.0,12181860.39848688,1628940.0,83.17360152549497,0.18809716458326206,,
S_Salado,S_Salado,pv_solar,Surocciden,Solar,2023,0.18217667240935168,182.17667240935162,0.0,0.1,11943.000390673413,1597.0,75.32345871511464,0.20796423791021876,,
S_Salado,S_Salado,pv_solar,Surocciden,Solar,2024,0.18217667240935054,182.17667240935054,0.0,0.1,11943.000390673413,1597.0,75.3234587151151,0.20796423791021745,,
S_SalvadorI,S_SalvadorI,pv_solar,Antioquia,Solar,2023,0.01734805179392347,17.348051793923467,0.0,0.01,1194.3000390673412,159.70000000000002,79.04911209347492,0.19803712093519935,,
S_SalvadorI,S_SalvadorI,pv_solar,Antioquia,Solar,2024,0.017348065588702645,17.348065588702646,0.0,0.01,1194.3000390673412,159.70000000000002,79.04905003063217,0.1980372784098475,,
S_SalvadorII,S_SalvadorII,pv_solar,Antioquia,Solar,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
S_SalvadorII,S_SalvadorII,pv_solar,Antioquia,Solar,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
S_SanFelipe,S_SanFelipe,pv_solar,Oriental,Solar,2023,16.57807718925099,16578.07718925099,0.0,9.1,1086813.0355512805,145327.0,75.32345871511468,0.20796423791021865,,
S_SanFelipe,S_SanFelipe,pv_solar,Oriental,Solar,2024,16.57807718925099,16578.07718925099,0.0,9.1,1086813.0355512805,145327.0,75.32345871511468,0.20796423791021865,,
S_Sierpe,S_Sierpe,pv_solar,Caribe,Solar,2023,38.736628443892656,38736.62844389265,0.0,19.9,2376657.077744009,317803.0,70.55845632375438,0.22221053006982772,,
S_Sierpe,S_Sierpe,pv_solar,Caribe,Solar,2024,38.73662834747232,38736.62834747232,0.0,19.9,2376657.077744009,317803.0,70.55845649689411,0.2222105295167178,,
S_Since,S_Since,pv_solar,Oriental,Solar,2023,36.011438410598515,36011.43841059851,0.0,18.5,2209455.0722745815,295445.0,70.55845650245854,0.22221052949894177,,
S_Since,S_Since,pv_solar,Oriental,Solar,2024,36.01143844787333,36011.438447873334,0.0,18.5,2209455.0722745815,295445.0,70.55845643045977,0.22221052972894806,,
S_SolBolivar,S_SolBolivar,pv_solar,Caribe,Solar,2023,15.689307785795746,15689.307785795745,0.0,8.06,962605.8314882772,128718.20000000001,70.55845639514467,0.2222105298417653,,
S_SolBolivar,S_SolBolivar,pv_solar,Caribe,Solar,2024,15.689307764787573,15689.307764787574,0.0,8.06,962605.8314882772,128718.20000000001,70.55845648828428,0.22221052954422268,,
S_Sunnorte,S_Sunnorte,pv_solar,Nordeste,Solar,2024,68.99428361306403,68994.28361306402,0.0,35.0,4180050.1367356945,558950.0,69.68685184577188,0.2250302792337378,,
S_Tepuy,S_Tepuy,pv_solar,Surocciden,Solar,2024,151.2066380997618,151206.6380997618,0.0,83.0,9912690.324258933,1325510.0,75.32345871511468,0.20796423791021862,,
S_Termotasajero,S_Termotasajero,pv_solar,Nordeste,Solar,2023,7.885061068544675,7885.061068544675,0.0,4.0,477720.0156269365,63880.0,69.68685111235264,0.22503028163654892,,
S_Termotasajero,S_Termotasajero,pv_solar,Nordeste,Solar,2024,7.885060984350174,7885.060984350174,0.0,4.0,477720.0156269365,63880.0,69.68685184577186,0.2250302792337378,,
S_TierraLind,S_TierraLind,pv_solar,Caribe,Solar,2023,19.270986041094062,19270.98604109406,0.0,9.9,1182357.038676668,158103.0,70.55845621071119,0.22221053043095407,,
S_TierraLind,S_TierraLind,pv_solar,Caribe,Solar,2024,19.270986000992853,19270.986000992852,0.0,9.9,1182357.038676668,158103.0,70.55845635545616,0.22221052996855367,,
S_Tolua,S_Tolua,pv_solar,Caribe,Solar,2023,38.73662857298095,38736.628572980946,0.0,19.9,2376657.077744009,317803.0,70.55845609195356,0.22221053081033557,,
S_Tolua,S_Tolua,pv_solar,Caribe,Solar,2024,38.73662839921754,38736.62839921754,0.0,19.9,2376657.077744009,317803.0,70.55845640397644,0.2222105298135514,,
S_Tucanes,S_Tucanes,pv_solar,Caribe,Solar,2023,19.270986060509884,19270.98606050988,0.0,9.9,1182357.038676668,158103.0,70.55845614062996,0.22221053065483465,,
S_Tucanes,S_Tucanes,pv_solar,Caribe,Solar,2024,19.270985957190476,19270.985957190478,0.0,9.9,1182357.038676668,158103.0,70.55845651356046,0.22221052946347572,,
S_Union,S_Union,pv_solar,Caribe,Solar,2024,194.65642386367352,194656.42386367352,0.0,100.0,11943000.390673412,1597000.0,70.55845649438248,0.22221052952474143,,
S_Uruaco,S_Uruaco,pv_solar,Caribe,Solar,2023,1.9465644067116288,1946.5644067116289,0.0,1.0,119430.00390673413,15970.0,70.55845048840081,0.2222105487113731,,
S_Uruaco,S_Uruaco,pv_solar,Caribe,Solar,2024,1.9465642730857058,1946.5642730857057,0.0,1.0,119430.00390673413,15970.0,70.55845526338423,0.2222105334572723,,
S_Victoria_I,S_Victoria_I,pv_solar,Surocciden,Solar,2023,39.89669125764799,39896.69125764799,0.0,21.9,2615517.085557477,349743.0,75.32345871511468,0.20796423791021862,,
S_Victoria_I,S_Victoria_I,pv_solar,Surocciden,Solar,2024,39.89669125764799,39896.69125764798,0.0,21.9,2615517.085557477,349743.0,75.32345871511468,0.20796423791021862,,
S_Victoria_II,S_Victoria_II,pv_solar,Surocciden,Solar,2023,39.89669125764799,39896.69125764799,0.0,21.9,2615517.085557477,349743.0,75.32345871511468,0.20796423791021862,,
S_Victoria_II,S_Victoria_II,pv_solar,Surocciden,Solar,2024,39.89669192268292,39896.69192268292,0.0,21.9,2615517.085557477,349743.0,75.32345747622259,0.20796424137675878,,
S_Yuma,S_Yuma,pv_solar,Oriental,Solar,2023,16.578077189250994,16578.077189250995,0.0,9.1,1086813.0355512805,145327.0,75.32345871511467,0.20796423791021867,,
S_Yuma,S_Yuma,pv_solar,Oriental,Solar,2024,16.578077791541908,16578.07779154191,0.0,9.1,1086813.0355512805,145327.0,75.3234560149015,0.207964245465677,,
S_Yumbo,S_Yumbo,pv_solar,Surocciden,Solar,2023,17.853313896116454,17853.313896116455,0.0,9.8,1170414.0382859944,156506.0,75.32345871511468,0.20796423791021865,,
S_Yumbo,S_Yumbo,pv_solar,Surocciden,Solar,2024,17.85331392610876,17853.313926108764,0.0,9.8,1170414.0382859944,156506.0,75.32345859025651,0.20796423825958388,,
TASAJERO 1,TASAJERO 1,Thermal,Nordeste,CARBON,2023,1445.4000011992753,12128507.552289046,1241711.631310271,165.0,20626650.674728606,23631300.0,39.01097148210375,1.0000000008297185,,
TASAJERO 1,TASAJERO 1,Thermal,Nordeste,CARBON,2024,1445.4000021709999,12128507.560442895,1241711.6321450586,165.0,20626650.674728606,23631300.0,39.010971461518395,1.000000001502006,,
TASAJERO 2,TASAJERO 2,Thermal,Nordeste,CARBON,2023,1489.19999853988,12496038.061556375,1405758.0377416925,170.0,21267000.695675414,24347400.0,39.021245510480455,0.999999999019527,,
TASAJERO 2,TASAJERO 2,Thermal,Nordeste,CARBON,2024,1489.200001818332,12496038.089066222,1405758.0408364485,170.0,21267000.695675414,24347400.0,39.021245443048656,1.0000000012210126,,
TC_GECELCA3,TC_GECELCA3,Thermal,Caribe,CARBON,2023,1436.6399846265174,12055001.306908727,1355234.5038656374,164.0,20531160.671604987,23488080.0,39.03151978127026,0.9999999892990012,,
TC_GECELCA3,TC_GECELCA3,Thermal,Caribe,CARBON,2024,1379.3419887860928,11574207.634081129,1301183.2302019154,164.0,20531160.671604987,23488080.0,40.30432536503281,0.9601166532924688,,
TC_GECELCA32,TC_GECELCA32,Thermal,Caribe,CARBON,2023,2105.4123557433068,17666742.51842264,2006671.0427537726,270.0,33801301.105691135,38669400.0,42.812251660929924,0.8901625045422401,,
TC_GECELCA32,TC_GECELCA32,Thermal,Caribe,CARBON,2024,1383.0458960779124,11605287.520288778,1318182.7032069336,270.0,33801301.105691135,38669400.0,60.790454506539085,0.5847479689150651,,
TEBSAB,TEBSAB,Thermal,Caribe,GASNACIO,2023,24.00002884212367,169920.20420223553,10180.769034776942,791.0,99167673.24392298,113287020.0,8859.348246904477,0.0034636274587574343,,
TEBSAB,TEBSAB,Thermal,Caribe,GASNACIO,2024,10.625204346318224,75226.44677193301,4507.192558340367,791.0,99167673.24392298,113287020.0,20002.431272236132,0.0015334043875907355,,
TEQUEND1-4,TEQUEND1-4,Hidro,Oriental,Water,2023,109.63644372335679,152394.65677546593,0.0,56.8,15760296.51554288,2486704.0,167.82188976090043,0.2203446437941282,,
TEQUEND1-4,TEQUEND1-4,Hidro,Oriental,Water,2024,109.63644372402784,152394.65677639868,0.0,56.8,15760296.51554288,2486704.0,167.82188975988174,0.22034464379547683,,
TERMO YOPAL2,TERMO YOPAL2,Thermal,Nordeste,GASNACIO,2023,1.1439858163563995e-06,0.00809941957980331,0.0008115213447983926,28.0,3520440.115158864,4010160.0,6582774030.576081,4.663999577447811e-09,,
TERMO YOPAL2,TERMO YOPAL2,Thermal,Nordeste,GASNACIO,2024,2.126765369233882e-06,0.015057498814175885,0.001508686093686353,28.0,3520440.115158864,4010160.0,3540870205.597285,8.670765530144659e-09,,
TERMOCENTRO,TERMOCENTRO,Thermal,Antioquia,GASNACIO,2023,1.1790477064258726e-06,0.00824154346791685,0.0005128244418145203,272.0,34296481.12188921,38955840.0,62128377614.32529,4.948326729224887e-10,,
TERMOCENTRO,TERMOCENTRO,Thermal,Antioquia,GASNACIO,2024,1.3194199715126164e-06,0.00922274560087319,0.0005738790777694695,272.0,34296481.12188921,38955840.0,55518578400.12353,5.537452875338337e-10,,
TERMODORADA1,TERMODORADA1,Thermal,Surocciden,ACPM,2023,4.2497303021922727e-07,0.003952249181038814,0.0003203081224986547,50.0,6313500.206524039,7161000.0,31706718432.285717,9.702580598612493e-10,,
TERMODORADA1,TERMODORADA1,Thermal,Surocciden,ACPM,2024,5.650900691920702e-07,0.0052553376434862535,0.00042591629641103204,50.0,6313500.206524039,7161000.0,23844871722.9173,1.2901599753243611e-09,,
TERMOEMCALI,TERMOEMCALI,Thermal,Surocciden,ACPM,2023,1.1970414728932744e-06,0.011132485697907452,0.0006478517731777474,229.0,63396362.07378986,32797380.0,80359573384.22038,5.967186461353084e-10,,
TERMOEMCALI,TERMOEMCALI,Thermal,Surocciden,ACPM,2024,71.64427558773812,666291.7629659646,38774.65570626023,229.0,63396362.07378986,32797380.0,1351.957752969916,0.03571428066625695,,
TERMONORTE,TERMONORTE,Thermal,Caribe,ACPM,2023,9.077433978664793e-07,0.008442013600158258,0.0005728042389217059,88.0,11127600.364000458,12603360.0,26142806908.008022,1.1775417676765246e-09,,
TERMONORTE,TERMONORTE,Thermal,Caribe,ACPM,2024,1.6828535197018825e-06,0.015650537733227506,0.001061914228002282,88.0,11127600.364000458,12603360.0,14101619720.208885,2.1830291610910674e-09,,
TERMOSIERRA,TERMOSIERRA,Thermal,Antioquia,ACPM,2023,3.1531261096009505e-06,0.02932407281928884,0.001541772722557582,433.0,54791821.79232248,62014260.0,37044532239.28591,8.312838404676278e-10,,
TERMOSIERRA,TERMOSIERRA,Thermal,Antioquia,ACPM,2024,540.5724624890548,5027323.901148211,264321.7709224082,433.0,54791821.79232248,62014260.0,225.37849066985635,0.1425154392971028,,
TERMOVALLE,TERMOVALLE,Thermal,Surocciden,ACPM,2023,1.6736415831452072e-06,0.015564866723250427,0.0008560164563463292,241.0,66718442.18246007,34516020.0,60487539995.13988,7.927592333812723e-10,,
TERMOVALLE,TERMOVALLE,Thermal,Surocciden,ACPM,2024,135.79297019244558,1262874.622789744,69453.94898854803,241.0,66718442.18246007,34516020.0,754.8059127066058,0.06432149633019077,,
TERMOYOPALG3,TERMOYOPALG3,Thermal,Nordeste,GASNACIO,2023,437.9999993198538,3101039.995184565,219481.27405917956,50.0,13842000.452792546,7161000.0,55.032055902755594,0.9999999984471547,,
TERMOYOPALG3,TERMOYOPALG3,Thermal,Nordeste,GASNACIO,2024,438.0000021552107,3101040.0152588915,219481.27547997347,50.0,13842000.452792546,7161000.0,55.032055592341926,1.0000000049205722,,
TERMOYOPALG4,TERMOYOPALG4,Thermal,Nordeste,GASNACIO,2023,438.00000022119065,3101040.00156603,216909.99550953988,50.0,13842000.452792546,7161000.0,55.03205580407763,1.0000000005050012,,
TERMOYOPALG4,TERMOYOPALG4,Thermal,Nordeste,GASNACIO,2024,438.00000233338244,3101040.0165203474,216909.99655555707,50.0,13842000.452792546,7161000.0,55.03205557283576,1.000000005327357,,
TERMOYOPALG5,TERMOYOPALG5,Thermal,Nordeste,GASNACIO,2023,438.0000016332616,3101040.011563492,208247.75777653672,50.0,13842000.452792546,7161000.0,55.03205564948468,1.0000000037289076,,
TERMOYOPALG5,TERMOYOPALG5,Thermal,Nordeste,GASNACIO,2024,438.00000271712554,3101040.019237249,208247.75829186145,50.0,13842000.452792546,7161000.0,55.03205553082373,1.0000000062034828,,
T_AutArCairo,T_AutArCairo,Thermal,Antioquia,CARBON,2023,56.94000422091051,477789.72647549614,0.0,6.5,1799460.058863031,930930.0,56.343160300651384,1.000000074129092,,
T_AutArCairo,T_AutArCairo,Thermal,Antioquia,CARBON,2024,56.94000424912678,477789.72671226185,0.0,6.5,1799460.058863031,930930.0,56.34316027688903,1.0000000746246358,,
T_TermYopal1,T_TermYopal1,Thermal,Nordeste,CARBON,2023,1.7819338289922658e-06,0.014952399256039847,0.0022457524943737483,8.0,1005120.0328789803,1145760.0,1207048215.167318,2.542713797078004e-08,,
T_TermYopal1,T_TermYopal1,Thermal,Nordeste,CARBON,2024,7.508771056172886,63006.90908235758,9463.2253199986,8.0,1005120.0328789803,1145760.0,294.840117696933,0.10714570571022952,,
TermoCaribe3,TermoCaribe3,Thermal,Caribe,GASIMPOR,2024,2.994709117176889e-07,0.002515555658428587,0.00015189853425418132,52.0,6116760.200088379,7447440.0,45293882216.48351,6.574264833985091e-10,,
URRA,URRA,Hidro,Caribe,Water,2023,1175.7819790141305,1634336.950829641,0.0,338.0,93784863.0678432,14797640.0,93.73918123076477,0.39710558314221794,,
URRA,URRA,Hidro,Caribe,Water,2024,1175.7819790161916,1634336.9508325062,0.0,338.0,93784863.0678432,14797640.0,93.73918123060288,0.397105583142914,,
ZIPAEMG2,ZIPAEMG2,Thermal,Oriental,CARBON,2023,213.99428564681034,1795649.1680230813,227674.79053221096,36.0,4600800.150499057,5155920.0,53.98447572375319,0.6785714283574654,,
ZIPAEMG2,ZIPAEMG2,Thermal,Oriental,CARBON,2024,315.3600018765045,2646219.843140672,335520.7460444681,36.0,4600800.150499057,5155920.0,39.32946448451868,1.0000000059503567,,
ZIPAEMG3,ZIPAEMG3,Thermal,Oriental,CARBON,2023,151.83762175534008,1274085.8867118238,165248.40638916133,63.0,8057070.263558825,9022860.0,120.87923887430846,0.2751279657812206,,
ZIPAEMG3,ZIPAEMG3,Thermal,Oriental,CARBON,2024,551.8799999832121,4630884.697799891,600623.8075977294,63.0,8057070.263558825,9022860.0,39.3397386424932,0.9999999999695803,,
ZIPAEMG4,ZIPAEMG4,Thermal,Oriental,CARBON,2023,3.297042382757002e-06,0.027665838803311492,0.0039860935782590565,64.0,8190720.267930715,9166080.0,5264354618.663628,5.880854706687002e-09,,
ZIPAEMG4,ZIPAEMG4,Thermal,Oriental,CARBON,2024,440.502855127852,3696307.0435797367,532563.8551730204,64.0,8190720.267930715,9166080.0,47.79335040949956,0.7857142821201697,,
ZIPAEMG5,ZIPAEMG5,Thermal,Oriental,CARBON,2023,277.0211363308671,2324514.2807146003,300597.13094676007,63.0,8068410.263929772,9022860.0,70.08773699294429,0.5019590061804505,,
ZIPAEMG5,ZIPAEMG5,Thermal,Oriental,CARBON,2024,551.8800004029004,4630884.7013215395,598847.9685891892,63.0,8068410.263929772,9022860.0,39.36028656482032,1.0000000007300505,,
