PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2023,5308545168.881416,5494344249.792278,69.06802670927475,79549749.8852747
2024,5319356659.380946,5698227837.445366,69.41359814431163,82090944.56677908
