GENERATION_PROJECT,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_capacity_limit_mw,gen_storage_efficiency
S_PortonSol,pv_solar,Solar,Antioquia,200,1,.,1.0,0,.,.,.,.
S_Sierpe,pv_solar,Solar,Caribe,200,1,.,1.0,0,.,.,.,.
S_Since,pv_solar,Solar,Oriental,200,1,.,1.0,0,.,.,.,.
S_HeliosI,pv_solar,Solar,Caribe,200,1,.,1.0,0,.,.,.,.
S_SolBolivar,pv_solar,Solar,Caribe,200,1,.,1.0,0,.,.,.,.
S_Yumbo,pv_solar,Solar,Surocciden,200,1,.,1.0,0,.,.,.,.
S_TierraLind,pv_solar,Solar,Caribe,200,1,.,1.0,0,.,.,.,.
S_Tolua,pv_solar,Solar,Caribe,200,1,.,1.0,0,.,.,.,.
S_BSLlanos4,pv_solar,Solar,Oriental,200,1,.,1.0,0,.,.,.,.
S_BSLlanos5,pv_solar,Solar,Oriental,200,1,.,1.0,0,.,.,.,.
S_CaracoliI,pv_solar,Solar,Caribe,200,1,.,1.0,0,.,.,.,.
S_LaLoma,pv_solar,Solar,Caribe,200,1,.,1.0,0,.,.,.,.
S_ParqueUrra,pv_solar,Solar,Caribe,200,1,.,1.0,0,.,.,.,.
S_Caracoli,pv_solar,Solar,Caribe,200,1,.,1.0,0,.,.,.,.
S_Tepuy,pv_solar,Solar,Surocciden,200,1,.,1.0,0,.,.,.,.
S_El_Paso,pv_solar,Solar,Caribe,200,1,.,1.0,0,.,.,.,.
TERMO_JAGUEY,Thermal,ACPM,Oriental,200,0,15,7.08,0,0.0304,0.1814,.,.
TERMORUBIALE,Thermal,ACPM,Oriental,200,0,15,7.08,0,0.0304,0.1814,.,.
S_LaMata,pv_solar,Solar,Nordeste,200,1,.,1.0,0,.,.,.,.
S_Escobal6,pv_solar,Solar,Surocciden,200,1,.,1.0,0,.,.,.,.
S_Union,pv_solar,Solar,Caribe,200,1,.,1.0,0,.,.,.,.
S_Nabusimake,pv_solar,Solar,Caribe,200,1,.,1.0,0,.,.,.,.
S_Guayepo,pv_solar,Solar,Caribe,200,1,.,1.0,0,.,.,.,.
S_Sunnorte,pv_solar,Solar,Nordeste,200,1,.,1.0,0,.,.,.,.
E_Windpeshi,Eolica,Wind,Caribe,200,1,.,0.0,0,.,.,.,.
E_ParqueAlph,Eolica,Wind,Caribe,200,1,.,0.0,0,.,.,.,.
